No,PIN,Name,Lunch,OT_Meal
1,1001,"John Doe",Yes,Yes
2,1002,"Jane Smith",Yes,Yes
3,1003,"Bob Wilson",Yes,Yes
4,1004,"Alice Johnson",Yes,Yes
5,1005,"Charlie Brown",Yes,Yes
6,11111,"Employee 11111",Yes,No
7,18011,"Employee 18011",Yes,No
8,18012,"Employee 18012",Yes,No
9,18013,"Employee 18013",Yes,No
10,18014,"Employee 18014",Yes,No
11,18017,"Employee 18017",Yes,No
12,18018,"Employee 18018",Yes,No
13,18019,"18019",Yes,No
14,18020,"Employee 18020",Yes,No
15,18023,"Employee 18023",Yes,No
16,18026,"Employee 18026",Yes,No
17,18027,"Employee 18027",Yes,No
18,18028,"Employee 18028",Yes,No
19,18030,"Employee 18030",Yes,No
20,18031,"Employee 18031",Yes,No
21,18032,"Employee 18032",Yes,No
22,18033,"Employee 18033",Yes,No
23,18034,"Employee 18034",Yes,No
24,18035,"Employee 18035",Yes,No
25,18038,"Employee 18038",Yes,No
26,18041,"Employee 18041",Yes,No
27,18044,"Employee 18044",Yes,No
28,18047,"Employee 18047",Yes,No
29,18048,"Employee 18048",Yes,No
30,18049,"Employee 18049",Yes,No
31,18053,"Employee 18053",Yes,No
32,18055,"Employee 18055",Yes,No
33,18056,"Employee 18056",Yes,No
34,18057,"Employee 18057",Yes,No
35,18061,"Employee 18061",Yes,No
36,18062,"Employee 18062",Yes,No
37,18065,"Employee 18065",Yes,No
38,18067,"Employee 18067",Yes,No
39,18068,"Employee 18068",Yes,No
40,18069,"Employee 18069",Yes,No
41,18071,"Employee 18071",Yes,No
42,18072,"Employee 18072",Yes,No
43,18075,"Employee 18075",Yes,No
44,18076,"Employee 18076",Yes,No
45,18077,"Employee 18077",Yes,No
46,18078,"Employee 18078",Yes,No
47,18082,"Employee 18082",Yes,No
48,18084,"Employee 18084",Yes,No
49,18085,"Employee 18085",Yes,No
50,18086,"Employee 18086",Yes,No
51,18090,"Employee 18090",Yes,No
52,18094,"Employee 18094",Yes,No
53,18095,"Employee 18095",Yes,No
54,18096,"Employee 18096",Yes,No
55,18098,"Employee 18098",Yes,No
56,18100,"Employee 18100",Yes,No
57,18114,"Employee 18114",Yes,No
58,19004,"Employee 19004",Yes,No
59,19005,"Employee 19005",Yes,No
60,19007,"Employee 19007",Yes,No
61,19008,"Employee 19008",Yes,No
62,19014,"kidsana",Yes,No
63,19016,"Employee 19016",Yes,No
64,19019,"Employee 19019",Yes,No
65,19020,"Employee 19020",Yes,No
66,19021,"Employee 19021",Yes,No
67,19023,"Employee 19023",Yes,No
68,19024,"Employee 19024",Yes,No
69,19027,"Employee 19027",Yes,No
70,19028,"Employee 19028",Yes,No
71,20003,"20003",Yes,No
72,20005,"20005",Yes,No
73,20008,"20008",Yes,No
74,20009,"20009",Yes,No
75,20014,"20014",Yes,No
76,20016,"20016",Yes,No
77,20017,"20017",Yes,No
78,20018,"20018",Yes,No
79,20019,"20019",Yes,No
80,20020,"20020",Yes,No
81,20024,"20024",Yes,No
82,20025,"20025",Yes,No
83,20026,"20026",Yes,No
84,20027,"20027",Yes,No
85,20030,"20030",Yes,No
86,20031,"20031",Yes,No
87,20032,"20032",Yes,No
88,21000,"21000",Yes,No
89,21002,"21002",Yes,No
90,21003,"21003",Yes,No
91,21006,"21006",Yes,No
92,21007,"21007",Yes,No
93,21008,"21008",Yes,No
94,21009,"21009",Yes,No
95,21013,"21013",Yes,No
96,21014,"21014",Yes,No
97,21016,"21016",Yes,No
98,21018,"21018",Yes,No
99,21019,"21019",Yes,No
100,21021,"21021",Yes,No
101,21023,"21023",Yes,No
102,21025,"21025",Yes,No
103,21027,"21027",Yes,No
104,21028,"21028",Yes,No
105,21030,"21030",Yes,No
106,21031,"21031",Yes,No
107,21032,"21032",Yes,No
108,21033,"21033",Yes,No
109,21034,"21034",Yes,No
110,21035,"21035",Yes,No
111,21036,"21036",Yes,No
112,21037,"21037",Yes,No
113,21038,"21038",Yes,No
114,21039,"21039",Yes,No
115,21040,"21040",Yes,No
116,21041,"21041",Yes,No
117,21042,"21042",Yes,No
118,21043,"21043",Yes,No
119,21045,"21045",Yes,No
120,21084,"21084",Yes,No
121,22001,"22001",Yes,No
122,22002,"22002",Yes,No
123,22003,"22003",Yes,No
124,22004,"22004",Yes,No
125,22005,"22005",Yes,No
126,22006,"22006",Yes,No
127,22007,"22007",Yes,No
128,22008,"22008",Yes,No
129,22009,"22009",Yes,No
130,22010,"22010",Yes,No
131,22011,"22011",Yes,No
132,22012,"22012",Yes,No
133,22013,"22013",Yes,No
134,22014,"22014",Yes,No
135,22015,"22015",Yes,No
136,22016,"22016",Yes,No
137,22017,"22017",Yes,No
138,22018,"22018",Yes,No
139,22019,"22019",Yes,No
